"x"
"LINC01409"
"NOC2L"
"PLEKHN1"
"ISG15"
"AGRN"
"C1orf159"
"ENSG00000272141"
"SDF4"
"C1QTNF12"
"UBE2J2"
"ACAP3"
"INTS11"
"DVL1"
"AURKAIP1"
"CCNL2"
"MRPL20"
"VWA1"
"ATAD3B"
"ATAD3A"
"SSU72"
"MIB2"
"CDK11B"
"SLC35E2B"
"CDK11A"
"SLC35E2A"
"NADK"
"GNB1"
"PRKCZ"
"FAAP20"
"SKI"
"MORN1"
"RER1"
"PEX10"
"PANK4"
"TNFRSF14-AS1"
"TNFRSF14"
"PRXL2B"
"ARHGEF16"
"MEGF6"
"TPRG1L"
"WRAP73"
"LRRC47"
"CEP104"
"DFFB"
"C1orf174"
"LINC01134"
"NPHP4"
"KCNAB2"
"RPL22"
"RNF207"
"ICMT"
"GPR153"
"ACOT7"
"HES2"
"ESPN"
"TNFRSF25"
"PLEKHG5"
"NOL9"
"ZBTB48"
"PHF13"
"THAP3"
"DNAJC11"
"CAMTA1"
"VAMP3"
"PER3"
"PARK7"
"ERRFI1"
"RERE"
"ENO1"
"GPR157"
"MIR34AHG"
"H6PD"
"SPSB1"
"SLC25A33"
"PIK3CD"
"CLSTN1"
"CTNNBIP1"
"LZIC"
"NMNAT1"
"UBE4B"
"KIF1B"
"PGD"
"DFFA"
"PEX14"
"CASZ1"
"ENSG00000272078"
"SRM"
"EXOSC10"
"MTOR"
"UBIAD1"
"AGTRAP"
"MTHFR"
"CLCN6"
"KIAA2013"
"PLOD1"
"MFN2"
"MIIP"
"TNFRSF1B"
"VPS13D"
"DHRS3"
"PRDM2"
"KAZN"
"TMEM51-AS1"
"TMEM51"
"FHAD1"
"EFHD2"
"CASP9"
"DNAJC16"
"AGMAT"
"DDI2"
"PLEKHM2"
"FBLIM1"
"SPEN-AS1"
"SPEN"
"ZBTB17"
"EPHA2"
"FBXO42"
"SZRD1"
"NECAP2"
"NBPF1"
"CROCC"
"ATP13A2"
"SDHB"
"PADI2"
"RCC2"
"ARHGEF10L"
"IFFO2"
"UBR4"
"EMC1-AS1"
"EMC1"
"MRTO4"
"AKR7A3"
"AKR7A2"
"SLC66A1"
"CAPZB"
"NBL1"
"TMCO4"
"RNF186"
"OTUD3"
"PLA2G2A"
"CAMK2N1"
"MUL1"
"CDA"
"PINK1"
"DDOST"
"HP1BP3"
"EIF4G3"
"ECE1"
"NBPF3"
"RAP1GAP"
"USP48"
"HSPG2"
"CDC42"
"ZBTB40"
"EPHB2"
"KDM1A"
"ENSG00000240553"
"LUZP1"
"LINC01355"
"HNRNPR"
"TCEA3"
"ASAP3"
"E2F2"
"ID3"
"RPL11"
"ELOA"
"ELOA-AS1"
"PITHD1"
"LYPLA2"
"GALE"
"HMGCL"
"FUCA1"
"CNR2"
"PNRC2"
"SRSF10"
"MYOM3"
"IL22RA1"
"IFNLR1"
"STPG1"
"NIPAL3"
"RCAN3"
"NCMAP"
"SRRM1"
"CLIC4"
"RUNX3"
"SYF2"
"RSRP1"
"TMEM50A"
"MACO1"
"LDLRAP1"
"MAN1C1"
"MTFR1L"
"STMN1"
"PAFAH2"
"PDIK1L"
"ZNF593"
"CNKSR1"
"CEP85"
"SH3BGRL3"
"UBXN11"
"CRYBG2"
"DHDDS"
"HMGN2"
"RPS6KA1"
"ARID1A"
"ZDHHC18"
"SFN"
"GPN2"
"GPATCH3"
"NUDC"
"KDF1"
"SLC9A1"
"WDTC1"
"TMEM222"
"SYTL1"
"MAP3K6"
"WASF2"
"AHDC1"
"IFI6"
"FAM76A"
"STX12"
"PPP1R8"
"RPA2"
"SMPDL3B"
"EYA3"
"DNAJC8"
"ATP5IF1"
"SESN2"
"PHACTR4"
"RCC1"
"TRNAU1AP"
"SNHG12"
"TAF12"
"GMEB1"
"YTHDF2"
"EPB41"
"SRSF4"
"MECR"
"LAPTM5"
"SDC3"
"PUM1"
"SNRNP40"
"ZCCHC17"
"SERINC2"
"TINAGL1"
"PEF1"
"COL16A1"
"PTP4A2"
"KHDRBS1"
"TMEM39B"
"KPNA6"
"TXLNA"
"TMEM234"
"EIF3I"
"LCK"
"HDAC1"
"MARCKSL1"
"BSDC1"
"ZBTB8A"
"ZBTB8OS"
"RBBP4"
"SYNC"
"NHSL3"
"YARS1"
"S100PBP"
"TMEM54"
"RNF19B"
"ENSG00000236065"
"AK2"
"AZIN2"
"TRIM62"
"ZNF362"
"PHC2"
"SMIM12"
"ZMYM1"
"SFPQ"
"ZMYM4"
"KIAA0319L"
"PSMB2"
"CLSPN"
"AGO4"
"AGO1"
"AGO3"
"ADPRS"
"TRAPPC3"
"MAP7D1"
"THRAP3"
"SH3D21"
"STK40"
"LITATS1"
"ZC3H12A"
"MEAF6"
"SNIP1"
"GNL2"
"AIRIM"
"CDCA8"
"EPHA10"
"MTF1"
"INPP5B"
"SF3A3"
"UTP11"
"RRAGC"
"RRAGC-DT"
"RHBDL2"
"AKIRIN1"
"NDUFS5"
"MACF1"
"PABPC4"
"PPIE"
"LINC02811"
"TRIT1"
"MFSD2A"
"CAP1"
"PPT1"
"RLF"
"ZMPSTE24"
"COL9A2"
"SMAP2"
"EXO5-DT"
"ZNF684"
"NFYC"
"KCNQ4"
"CTPS1"
"SLFNL1-AS1"
"SCMH1"
"SCMH1-DT"
"HIVEP3"
"GUCA2B"
"GUCA2A"
"FOXJ3"
"RIMKLA"
"PPCS"
"CCDC30"
"PPIH"
"YBX1"
"ERMAP"
"SLC2A1"
"EBNA1BP2"
"TMEM125"
"ELOVL1"
"MED8"
"SZT2"
"HYI"
"PTPRF"
"ATP6V0B"
"B4GALT2"
"CCDC24"
"SLC6A9"
"DMAP1"
"ERI3"
"RNF220"
